iteration(log10) 	error(log10)
1121	-3.89032
1122	-3.89331
1123	-3.8963
1124	-3.89929
1125	-3.90229
1126	-3.90528
1127	-3.90827
1128	-3.91126
1129	-3.91425
1130	-3.91724
1131	-3.92023
1132	-3.92323
1133	-3.92622
1134	-3.92921
1135	-3.9322
1136	-3.93519
1137	-3.93818
1138	-3.94117
1139	-3.94417
1140	-3.94716
1141	-3.95015
1142	-3.95314
1143	-3.95613
1144	-3.95912
1145	-3.96211
1146	-3.9651
1147	-3.9681
1148	-3.97109
1149	-3.97408
1150	-3.97707
1151	-3.98006
1152	-3.98305
1153	-3.98604
1154	-3.98904
1155	-3.99203
1156	-3.99502
1157	-3.99801
1158	-4.001
1159	-4.00399
1160	-4.00698
1161	-4.00998
1162	-4.01297
1163	-4.01596
1164	-4.01895
1165	-4.02194
1166	-4.02493
1167	-4.02792
1168	-4.03092
1169	-4.03391
1170	-4.0369
1171	-4.03989
1172	-4.04288
1173	-4.04587
1174	-4.04886
1175	-4.05185
1176	-4.05485
1177	-4.05784
1178	-4.06083
1179	-4.06382
1180	-4.06681
1181	-4.0698
1182	-4.07279
1183	-4.07579
1184	-4.07878
1185	-4.08177
1186	-4.08476
1187	-4.08775
1188	-4.09074
1189	-4.09373
1190	-4.09673
1191	-4.09972
1192	-4.10271
1193	-4.1057
1194	-4.10869
1195	-4.11168
1196	-4.11467
1197	-4.11767
1198	-4.12066
1199	-4.12365
1200	-4.12664
1201	-4.12963
1202	-4.13262
1203	-4.13561
1204	-4.13861
1205	-4.1416
1206	-4.14459
1207	-4.14758
1208	-4.15057
1209	-4.15356
1210	-4.15655
1211	-4.15955
1212	-4.16254
1213	-4.16553
1214	-4.16852
1215	-4.17151
1216	-4.1745
1217	-4.17749
1218	-4.18048
1219	-4.18348
1220	-4.18647
1221	-4.18946
1222	-4.19245
1223	-4.19544
1224	-4.19843
1225	-4.20142
1226	-4.20442
1227	-4.20741
1228	-4.2104
1229	-4.21339
1230	-4.21638
1231	-4.21937
1232	-4.22236
1233	-4.22536
1234	-4.22835
1235	-4.23134
1236	-4.23433
1237	-4.23732
1238	-4.24031
1239	-4.2433
1240	-4.2463
1241	-4.24929
1242	-4.25228
1243	-4.25527
1244	-4.25826
1245	-4.26125
1246	-4.26424
1247	-4.26724
1248	-4.27023
1249	-4.27322
1250	-4.27621
1251	-4.2792
1252	-4.28219
1253	-4.28518
1254	-4.28818
1255	-4.29117
1256	-4.29416
1257	-4.29715
1258	-4.30014
1259	-4.30313
1260	-4.30612
1261	-4.30912
1262	-4.31211
1263	-4.3151
1264	-4.31809
1265	-4.32108
1266	-4.32407
1267	-4.32706
1268	-4.33006
1269	-4.33305
1270	-4.33604
1271	-4.33903
1272	-4.34202
1273	-4.34501
1274	-4.348
1275	-4.351
1276	-4.35399
1277	-4.35698
1278	-4.35997
1279	-4.36296
1280	-4.36595
1281	-4.36894
1282	-4.37194
1283	-4.37493
1284	-4.37792
1285	-4.38091
1286	-4.3839
1287	-4.38689
1288	-4.38988
1289	-4.39288
1290	-4.39587
1291	-4.39886
1292	-4.40185
1293	-4.40484
1294	-4.40783
1295	-4.41082
1296	-4.41382
1297	-4.41681
1298	-4.4198
1299	-4.42279
1300	-4.42578
